game_id,date,matchup,market,target,probability_pct,line_value,actual_value,actual_outcome,is_correct,is_push
823514,2026-08-08,Atlanta Braves @ New York Yankees,MONEYLINE,away,57.67,0.0,5.0,home,False,False
823514,2026-08-08,Atlanta Braves @ New York Yankees,TOTALS,UNDER,55.9,6.0,9.0,OVER,False,False
824726,2026-08-08,Athletics @ Boston Red Sox,MONEYLINE,home,78.0,0.0,7.0,away,False,False
824726,2026-08-08,Athletics @ Boston Red Sox,TOTALS,OVER,51.2,8.0,10.0,OVER,True,False
823834,2026-08-08,Los Angeles Angels @ Miami Marlins,MONEYLINE,home,51.26,0.0,7.0,home,True,False
823834,2026-08-08,Los Angeles Angels @ Miami Marlins,TOTALS,UNDER,56.2,7.0,7.0,PUSH,False,True
823426,2026-08-08,Toronto Blue Jays @ Philadelphia Phillies,MONEYLINE,home,54.19,0.0,7.0,away,False,False
823426,2026-08-08,Toronto Blue Jays @ Philadelphia Phillies,TOTALS,UNDER,51.0,9.5,12.0,OVER,False,False
823348,2026-08-08,New York Mets @ Pittsburgh Pirates,MONEYLINE,home,69.99,0.0,9.0,home,True,False
823348,2026-08-08,New York Mets @ Pittsburgh Pirates,TOTALS,UNDER,54.3,11.0,9.0,UNDER,True,False
822701,2026-08-08,Cincinnati Reds @ Washington Nationals,MONEYLINE,away,65.04,0.0,8.0,home,False,False
822701,2026-08-08,Cincinnati Reds @ Washington Nationals,TOTALS,UNDER,54.6,7.5,10.0,OVER,False,False
824079,2026-08-08,Chicago Cubs @ Kansas City Royals,MONEYLINE,away,57.85,0.0,6.0,home,False,False
824079,2026-08-08,Chicago Cubs @ Kansas City Royals,TOTALS,UNDER,54.0,7.5,9.0,OVER,False,False
823752,2026-08-08,Minnesota Twins @ Milwaukee Brewers,MONEYLINE,home,50.24,0.0,4.0,home,True,False
823752,2026-08-08,Minnesota Twins @ Milwaukee Brewers,TOTALS,UNDER,53.8,8.0,7.0,UNDER,True,False
823267,2026-08-08,Houston Astros @ San Diego Padres,MONEYLINE,away,55.14,0.0,3.0,home,False,False
823267,2026-08-08,Houston Astros @ San Diego Padres,TOTALS,UNDER,55.7,7.0,5.0,UNDER,True,False
823188,2026-08-08,Detroit Tigers @ San Francisco Giants,MONEYLINE,away,71.33,0.0,8.0,away,True,False
823188,2026-08-08,Detroit Tigers @ San Francisco Giants,TOTALS,UNDER,51.8,5.5,8.0,OVER,False,False
823021,2026-08-08,Colorado Rockies @ St. Louis Cardinals,MONEYLINE,home,57.41,0.0,8.0,away,False,False
823021,2026-08-08,Colorado Rockies @ St. Louis Cardinals,TOTALS,UNDER,52.0,10.5,14.0,OVER,False,False
822864,2026-08-08,Baltimore Orioles @ Texas Rangers,MONEYLINE,away,50.21,0.0,5.0,home,False,False
822864,2026-08-08,Baltimore Orioles @ Texas Rangers,TOTALS,UNDER,55.8,7.5,6.0,UNDER,True,False
824565,2026-08-08,Cleveland Guardians @ Chicago White Sox,MONEYLINE,away,50.56,0.0,6.0,home,False,False
824565,2026-08-08,Cleveland Guardians @ Chicago White Sox,TOTALS,UNDER,53.2,7.5,9.0,OVER,False,False
825049,2026-08-08,Los Angeles Dodgers @ Arizona Diamondbacks,MONEYLINE,away,50.04,0.0,2.0,away,True,False
825049,2026-08-08,Los Angeles Dodgers @ Arizona Diamondbacks,TOTALS,UNDER,50.7,6.5,3.0,UNDER,True,False
823102,2026-08-08,Tampa Bay Rays @ Seattle Mariners,MONEYLINE,away,50.45,0.0,3.0,away,True,False
823102,2026-08-08,Tampa Bay Rays @ Seattle Mariners,TOTALS,UNDER,53.7,8.0,5.0,UNDER,True,False
