id,fecha,partido,equipo_local,equipo_visitante,hora_inicio,estadio,abridor_local,era_local,abridor_visitante,era_visitante,mercado,ganador_proyectado,probabilidad_local,probabilidad_visitante,diferencia_probabilidad,solidez_modelo,marcador_proyectado,evaluacion,estado,generado_en,version_modelo,estado_es,evaluacion_es,mercado_es,total_carreras_esperadas,linea_mercado_ou,lado_recomendado_ou,probabilidad_over_ou,probabilidad_under_ou,origen_linea_ou,pitcher_ponches,ponches_proyectados,linea_mercado_ponches,lado_recomendado_ponches,probabilidad_over_ponches,probabilidad_under_ponches,origen_linea_ponches
824805,2026-08-04,Los Angeles Angels @ Baltimore Orioles,Baltimore Orioles,Los Angeles Angels,2026-08-04,Oriole Park at Camden Yards,Cade Povich,0.0,Grayson Rodriguez,0.0,Ganador del partido,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-04T19:15:27.619693,1.0.0,Juego finalizado,N/A,Ganador del partido,,,,,,,,,,,,,
824805,2026-08-04,Los Angeles Angels @ Baltimore Orioles,Baltimore Orioles,Los Angeles Angels,2026-08-04,Oriole Park at Camden Yards,Cade Povich,0.0,Grayson Rodriguez,0.0,Más/Menos carreras,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-04T19:15:27.619693,1.0.0,Juego finalizado,N/A,Más/Menos carreras,,,,,,,,,,,,,
824805,2026-08-04,Los Angeles Angels @ Baltimore Orioles,Baltimore Orioles,Los Angeles Angels,2026-08-04,Oriole Park at Camden Yards,Cade Povich,0.0,Grayson Rodriguez,0.0,Ponches (Local),N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-04T19:15:27.619693,1.0.0,Juego finalizado,N/A,Ponches (Local),,,,,,,,,,,,,
824805,2026-08-04,Los Angeles Angels @ Baltimore Orioles,Baltimore Orioles,Los Angeles Angels,2026-08-04,Oriole Park at Camden Yards,Cade Povich,0.0,Grayson Rodriguez,0.0,Ponches (Visitante),N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-04T19:15:27.619693,1.0.0,Juego finalizado,N/A,Ponches (Visitante),,,,,,,,,,,,,
824403,2026-08-04,New York Mets @ Cleveland Guardians,Cleveland Guardians,New York Mets,2026-08-04,Progressive Field,Joey Cantillo,0.0,Sean Manaea,0.0,Ganador del partido,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-04T19:15:27.872588,1.0.0,Juego finalizado,N/A,Ganador del partido,,,,,,,,,,,,,
824403,2026-08-04,New York Mets @ Cleveland Guardians,Cleveland Guardians,New York Mets,2026-08-04,Progressive Field,Joey Cantillo,0.0,Sean Manaea,0.0,Más/Menos carreras,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-04T19:15:27.872588,1.0.0,Juego finalizado,N/A,Más/Menos carreras,,,,,,,,,,,,,
824403,2026-08-04,New York Mets @ Cleveland Guardians,Cleveland Guardians,New York Mets,2026-08-04,Progressive Field,Joey Cantillo,0.0,Sean Manaea,0.0,Ponches (Local),N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-04T19:15:27.872588,1.0.0,Juego finalizado,N/A,Ponches (Local),,,,,,,,,,,,,
824403,2026-08-04,New York Mets @ Cleveland Guardians,Cleveland Guardians,New York Mets,2026-08-04,Progressive Field,Joey Cantillo,0.0,Sean Manaea,0.0,Ponches (Visitante),N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-04T19:15:27.872588,1.0.0,Juego finalizado,N/A,Ponches (Visitante),,,,,,,,,,,,,
824484,2026-08-04,Athletics @ Cincinnati Reds,Cincinnati Reds,Athletics,2026-08-04,Great American Ball Park,Brady Singer,4.71,J.T. Ginn,3.48,Ganador del partido,Cincinnati Reds,57.7%,42.3%,15.4%,77.79,N/A,⭐⭐⭐ Ligera ventaja,READY,2026-08-04T19:15:28.086669,1.0.0,Listo para analizar,⭐⭐⭐ Ligera ventaja,Ganador del partido,,,,,,,,,,,,,
824484,2026-08-04,Athletics @ Cincinnati Reds,Cincinnati Reds,Athletics,2026-08-04,Great American Ball Park,Brady Singer,4.71,J.T. Ginn,3.48,Más/Menos carreras,N/A,44.1%,55.9%,11.8%,68.22,N/A,⭐ Partido cerrado,READY,2026-08-04T19:15:28.086669,1.0.0,Listo para analizar,⭐ Partido cerrado,Más/Menos carreras,8.24,8.5,UNDER,44.1,55.9,MODEL,,,,,,,
824484,2026-08-04,Athletics @ Cincinnati Reds,Cincinnati Reds,Athletics,2026-08-04,Great American Ball Park,Brady Singer,4.71,J.T. Ginn,3.48,Ponches (Local),Ks: Brady Singer,41.7%,58.3%,16.7%,79.16,N/A,⭐⭐⭐⭐ Favorable,READY,2026-08-04T19:15:28.086669,1.0.0,Listo para analizar,⭐⭐⭐⭐ Favorable,Ponches (Local),,,,,,,Brady Singer,6.14,6.5,UNDER,41.67,58.33,MODEL
824484,2026-08-04,Athletics @ Cincinnati Reds,Cincinnati Reds,Athletics,2026-08-04,Great American Ball Park,Brady Singer,4.71,J.T. Ginn,3.48,Ponches (Visitante),Ks: J.T. Ginn,42.0%,58.0%,16.1%,78.93,N/A,⭐⭐⭐⭐ Favorable,READY,2026-08-04T19:15:28.086669,1.0.0,Listo para analizar,⭐⭐⭐⭐ Favorable,Ponches (Visitante),,,,,,,J.T. Ginn,8.09,8.5,UNDER,41.96,58.04,MODEL
823432,2026-08-04,Washington Nationals @ Philadelphia Phillies,Philadelphia Phillies,Washington Nationals,2026-08-04,Citizens Bank Park,Jesús Luzardo,0.0,Carson Palmquist,0.0,Ganador del partido,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-04T19:15:28.287755,1.0.0,Juego finalizado,N/A,Ganador del partido,,,,,,,,,,,,,
823432,2026-08-04,Washington Nationals @ Philadelphia Phillies,Philadelphia Phillies,Washington Nationals,2026-08-04,Citizens Bank Park,Jesús Luzardo,0.0,Carson Palmquist,0.0,Más/Menos carreras,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-04T19:15:28.287755,1.0.0,Juego finalizado,N/A,Más/Menos carreras,,,,,,,,,,,,,
823432,2026-08-04,Washington Nationals @ Philadelphia Phillies,Philadelphia Phillies,Washington Nationals,2026-08-04,Citizens Bank Park,Jesús Luzardo,0.0,Carson Palmquist,0.0,Ponches (Local),N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-04T19:15:28.287755,1.0.0,Juego finalizado,N/A,Ponches (Local),,,,,,,,,,,,,
823432,2026-08-04,Washington Nationals @ Philadelphia Phillies,Philadelphia Phillies,Washington Nationals,2026-08-04,Citizens Bank Park,Jesús Luzardo,0.0,Carson Palmquist,0.0,Ponches (Visitante),N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-04T19:15:28.287755,1.0.0,Juego finalizado,N/A,Ponches (Visitante),,,,,,,,,,,,,
823517,2026-08-04,St. Louis Cardinals @ New York Yankees,New York Yankees,St. Louis Cardinals,2026-08-04,Yankee Stadium,Ryan Weathers,3.85,Hunter Dobbins,3.58,Ganador del partido,New York Yankees,52.6%,47.4%,5.2%,66.27,N/A,⭐ Partido cerrado,READY,2026-08-04T19:15:28.510367,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,,,,,,,,
823517,2026-08-04,St. Louis Cardinals @ New York Yankees,New York Yankees,St. Louis Cardinals,2026-08-04,Yankee Stadium,Ryan Weathers,3.85,Hunter Dobbins,3.58,Más/Menos carreras,N/A,41.3%,58.7%,17.4%,79.46,N/A,⭐⭐⭐⭐ Favorable,READY,2026-08-04T19:15:28.510367,1.0.0,Listo para analizar,⭐⭐⭐⭐ Favorable,Más/Menos carreras,7.08,7.5,UNDER,41.3,58.7,MODEL,,,,,,,
823517,2026-08-04,St. Louis Cardinals @ New York Yankees,New York Yankees,St. Louis Cardinals,2026-08-04,Yankee Stadium,Ryan Weathers,3.85,Hunter Dobbins,3.58,Ponches (Local),Ks: Ryan Weathers,47.0%,53.0%,5.9%,52.38,N/A,⭐ Partido cerrado,READY,2026-08-04T19:15:28.510367,1.0.0,Listo para analizar,⭐ Partido cerrado,Ponches (Local),,,,,,,Ryan Weathers,7.47,7.5,UNDER,47.03,52.97,MODEL
823517,2026-08-04,St. Louis Cardinals @ New York Yankees,New York Yankees,St. Louis Cardinals,2026-08-04,Yankee Stadium,Ryan Weathers,3.85,Hunter Dobbins,3.58,Ponches (Visitante),Ks: Hunter Dobbins,43.2%,56.8%,13.5%,77.91,N/A,⭐⭐⭐ Ligera ventaja,READY,2026-08-04T19:15:28.510367,1.0.0,Listo para analizar,⭐⭐⭐ Ligera ventaja,Ponches (Visitante),,,,,,,Hunter Dobbins,10.12,10.5,UNDER,43.24,56.76,MODEL
824731,2026-08-04,Chicago White Sox @ Boston Red Sox,Boston Red Sox,Chicago White Sox,2026-08-04,Fenway Park,Patrick Sandoval,2.82,Davis Martin,3.98,Ganador del partido,Boston Red Sox,61.3%,38.7%,22.6%,0.0,N/A,NO_PLAY,READY,2026-08-04T19:15:28.726122,1.0.0,Listo para analizar,NO_PLAY,Ganador del partido,,,,,,,,,,,,,
824731,2026-08-04,Chicago White Sox @ Boston Red Sox,Boston Red Sox,Chicago White Sox,2026-08-04,Fenway Park,Patrick Sandoval,2.82,Davis Martin,3.98,Más/Menos carreras,N/A,49.1%,50.9%,1.8%,0.0,N/A,NO_PLAY,READY,2026-08-04T19:15:28.726122,1.0.0,Listo para analizar,NO_PLAY,Más/Menos carreras,6.61,6.5,UNDER,49.1,50.9,MODEL,,,,,,,
824731,2026-08-04,Chicago White Sox @ Boston Red Sox,Boston Red Sox,Chicago White Sox,2026-08-04,Fenway Park,Patrick Sandoval,2.82,Davis Martin,3.98,Ponches (Local),Ks: Patrick Sandoval,40.3%,59.7%,19.5%,0.0,N/A,NO_PLAY,READY,2026-08-04T19:15:28.726122,1.0.0,Listo para analizar,NO_PLAY,Ponches (Local),,,,,,,Patrick Sandoval,7.01,7.5,UNDER,40.26,59.74,MODEL
