id,fecha,partido,equipo_local,equipo_visitante,hora_inicio,estadio,abridor_local,era_local,abridor_visitante,era_visitante,mercado,ganador_proyectado,probabilidad_local,probabilidad_visitante,diferencia_probabilidad,solidez_modelo,marcador_proyectado,evaluacion,estado,generado_en,version_modelo,estado_es,evaluacion_es,mercado_es,total_carreras_esperadas,linea_mercado_ou,lado_recomendado_ou,probabilidad_over_ou,probabilidad_under_ou,origen_linea_ou
824240,2026-08-11,Cleveland Guardians @ Detroit Tigers,Detroit Tigers,Cleveland Guardians,2026-08-11,Comerica Park,Drew Anderson,4.01,Tanner Bibee,3.85,Ganador del partido,Detroit Tigers,51.9%,48.1%,3.7%,0.0,N/A,NO_PLAY,READY,2026-08-11T14:34:09.246481,1.0.0,Listo para analizar,NO_PLAY,Ganador del partido,,,,,,
824240,2026-08-11,Cleveland Guardians @ Detroit Tigers,Detroit Tigers,Cleveland Guardians,2026-08-11,Comerica Park,Drew Anderson,4.01,Tanner Bibee,3.85,Más/Menos carreras,N/A,46.4%,53.6%,7.2%,0.0,N/A,NO_PLAY,READY,2026-08-11T14:34:09.246501,1.0.0,Listo para analizar,NO_PLAY,Más/Menos carreras,7.94,8.0,UNDER,46.4,53.6,MARKET
823832,2026-08-11,Pittsburgh Pirates @ Miami Marlins,Miami Marlins,Pittsburgh Pirates,2026-08-11,loanDepot park,Eury Pérez,3.61,Paul Skenes,3.96,Ganador del partido,Miami Marlins,54.1%,45.9%,8.1%,67.13,N/A,⭐ Partido cerrado,READY,2026-08-11T14:34:09.439691,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
823832,2026-08-11,Pittsburgh Pirates @ Miami Marlins,Miami Marlins,Pittsburgh Pirates,2026-08-11,loanDepot park,Eury Pérez,3.61,Paul Skenes,3.96,Más/Menos carreras,N/A,67.2%,32.8%,34.4%,93.76,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-11T14:34:09.439705,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,8.25,7.0,OVER,67.2,32.8,MARKET
822697,2026-08-11,Chicago Cubs @ Washington Nationals,Washington Nationals,Chicago Cubs,2026-08-11,Nationals Park,TBD (HOME),0.0,Shota Imanaga,0.0,Ganador del partido,N/A,N/A,N/A,N/A,N/A,N/A,N/A,WAITING_FOR_STARTER,2026-08-11T14:34:09.693098,1.0.0,Esperando abridor,N/A,Ganador del partido,,,,,,
822697,2026-08-11,Chicago Cubs @ Washington Nationals,Washington Nationals,Chicago Cubs,2026-08-11,Nationals Park,TBD (HOME),0.0,Shota Imanaga,0.0,Más/Menos carreras,N/A,N/A,N/A,N/A,N/A,N/A,N/A,WAITING_FOR_STARTER,2026-08-11T14:34:09.693110,1.0.0,Esperando abridor,N/A,Más/Menos carreras,,,,,,
823512,2026-08-11,Seattle Mariners @ New York Yankees,New York Yankees,Seattle Mariners,2026-08-11,Yankee Stadium,Ryan Weathers,3.79,Bryan Woo,4.31,Ganador del partido,New York Yankees,62.4%,37.6%,24.9%,79.67,N/A,⭐⭐⭐⭐ Favorable,READY,2026-08-11T14:34:09.863089,1.0.0,Listo para analizar,⭐⭐⭐⭐ Favorable,Ganador del partido,,,,,,
823512,2026-08-11,Seattle Mariners @ New York Yankees,New York Yankees,Seattle Mariners,2026-08-11,Yankee Stadium,Ryan Weathers,3.79,Bryan Woo,4.31,Más/Menos carreras,N/A,31.2%,68.8%,37.6%,95.04,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-11T14:34:09.863104,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,7.0,8.0,UNDER,31.2,68.8,MARKET
822778,2026-08-11,Boston Red Sox @ Toronto Blue Jays,Toronto Blue Jays,Boston Red Sox,2026-08-11,Rogers Centre,Dylan Cease,2.28,Patrick Sandoval,3.38,Ganador del partido,Boston Red Sox,50.0%,50.0%,0.1%,50.06,N/A,⭐ Partido cerrado,READY,2026-08-11T14:34:10.040588,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
822778,2026-08-11,Boston Red Sox @ Toronto Blue Jays,Toronto Blue Jays,Boston Red Sox,2026-08-11,Rogers Centre,Dylan Cease,2.28,Patrick Sandoval,3.38,Más/Menos carreras,N/A,21.2%,78.8%,57.6%,100.0,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-11T14:34:10.040600,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,5.46,7.0,UNDER,21.2,78.8,MARKET
824886,2026-08-11,New York Mets @ Atlanta Braves,Atlanta Braves,New York Mets,2026-08-11,Truist Park,Martín Pérez,3.14,Nolan McLean,3.51,Ganador del partido,New York Mets,48.9%,51.0%,2.1%,44.25,N/A,⭐ Partido cerrado,READY,2026-08-11T14:34:10.232029,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
824886,2026-08-11,New York Mets @ Atlanta Braves,Atlanta Braves,New York Mets,2026-08-11,Truist Park,Martín Pérez,3.14,Nolan McLean,3.51,Más/Menos carreras,N/A,27.6%,72.4%,44.8%,90.72,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-11T14:34:10.232042,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,7.04,8.5,UNDER,27.6,72.4,MARKET
823673,2026-08-11,Baltimore Orioles @ Minnesota Twins,Minnesota Twins,Baltimore Orioles,2026-08-11,Target Field,Bailey Ober,4.45,Brandon Young,3.43,Ganador del partido,Baltimore Orioles,46.6%,53.4%,6.8%,59.54,N/A,⭐ Partido cerrado,READY,2026-08-11T14:34:10.419437,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
823673,2026-08-11,Baltimore Orioles @ Minnesota Twins,Minnesota Twins,Baltimore Orioles,2026-08-11,Target Field,Bailey Ober,4.45,Brandon Young,3.43,Más/Menos carreras,N/A,29.2%,70.8%,41.6%,89.44,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-11T14:34:10.419456,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,8.07,9.5,UNDER,29.2,70.8,MARKET
824563,2026-08-11,Cincinnati Reds @ Chicago White Sox,Chicago White Sox,Cincinnati Reds,2026-08-11,Rate Field,Sean Burke,3.08,Nick Lodolo,4.6,Ganador del partido,Chicago White Sox,62.9%,37.1%,25.8%,72.66,N/A,⭐⭐⭐ Ligera ventaja,READY,2026-08-11T14:34:10.598170,1.0.0,Listo para analizar,⭐⭐⭐ Ligera ventaja,Ganador del partido,,,,,,
