game_id,date,matchup,home_pitcher,home_era,away_pitcher,away_era,market,pick,model_prob,model_confidence,market_line,evaluation,evaluation_es,status,actual_score,actual_result,updated_at
822694,2026-08-27,Colorado Rockies @ Washington Nationals,Jake Irvin,5.82,Gabriel Hughes,6.54,MONEYLINE,Colorado Rockies,50.1%,35.72,N/A,PARTIDO_CERRADO,⭐ Partido cerrado,LOSS,1 - 7,1 a 7 (V-L),2026-08-28T20:00:03.798850
822694,2026-08-27,Colorado Rockies @ Washington Nationals,Jake Irvin,5.82,Gabriel Hughes,6.54,TOTALS,OVER,76.5%,85.6,9.5,FAVORABLE,⭐⭐⭐⭐ Favorable,LOSS,1 - 7,8,2026-08-28T20:00:03.798867
822694,2026-08-27,Colorado Rockies @ Washington Nationals,Jake Irvin,5.82,Gabriel Hughes,6.54,TEAM_TOTAL_HOME_ALT_2.5,OVER,92.0%,85.6,2.5,FAVORABLE,⭐⭐⭐⭐ Favorable,WIN,1 - 7,7,2026-08-28T20:00:03.798872
822694,2026-08-27,Colorado Rockies @ Washington Nationals,Jake Irvin,5.82,Gabriel Hughes,6.54,TEAM_TOTAL_HOME_ALT_3.5,OVER,81.5%,85.6,3.5,FAVORABLE,⭐⭐⭐⭐ Favorable,WIN,1 - 7,7,2026-08-28T20:00:03.798876
822694,2026-08-27,Colorado Rockies @ Washington Nationals,Jake Irvin,5.82,Gabriel Hughes,6.54,TEAM_TOTAL_AWAY_ALT_2.5,OVER,95.5%,85.6,2.5,FAVORABLE,⭐⭐⭐⭐ Favorable,LOSS,1 - 7,1,2026-08-28T20:00:03.798881
822694,2026-08-27,Colorado Rockies @ Washington Nationals,Jake Irvin,5.82,Gabriel Hughes,6.54,TEAM_TOTAL_AWAY_ALT_3.5,OVER,88.4%,85.6,3.5,FAVORABLE,⭐⭐⭐⭐ Favorable,LOSS,1 - 7,1,2026-08-28T20:00:03.798884
823014,2026-08-27,Baltimore Orioles @ St. Louis Cardinals,Gordon Graceffo,3.13,Trevor Rogers,4.14,MONEYLINE,St. Louis Cardinals,50.1%,0.0,N/A,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),WIN,5 - 7,5 a 7 (V-L),2026-08-28T20:00:03.798888
823014,2026-08-27,Baltimore Orioles @ St. Louis Cardinals,Gordon Graceffo,3.13,Trevor Rogers,4.14,TOTALS,OVER,74.4%,0.0,8.5,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),WIN,5 - 7,12,2026-08-28T20:00:03.798892
823014,2026-08-27,Baltimore Orioles @ St. Louis Cardinals,Gordon Graceffo,3.13,Trevor Rogers,4.14,TEAM_TOTAL_HOME_ALT_2.5,OVER,96.2%,0.0,2.5,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),WIN,5 - 7,7,2026-08-28T20:00:03.798895
823014,2026-08-27,Baltimore Orioles @ St. Louis Cardinals,Gordon Graceffo,3.13,Trevor Rogers,4.14,TEAM_TOTAL_HOME_ALT_3.5,OVER,90.0%,0.0,3.5,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),WIN,5 - 7,7,2026-08-28T20:00:03.798898
823014,2026-08-27,Baltimore Orioles @ St. Louis Cardinals,Gordon Graceffo,3.13,Trevor Rogers,4.14,TEAM_TOTAL_AWAY_ALT_2.5,OVER,77.1%,0.0,2.5,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),WIN,5 - 7,5,2026-08-28T20:00:03.798901
823014,2026-08-27,Baltimore Orioles @ St. Louis Cardinals,Gordon Graceffo,3.13,Trevor Rogers,4.14,TEAM_TOTAL_AWAY_ALT_3.5,OVER,57.8%,0.0,3.5,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),WIN,5 - 7,5,2026-08-28T20:00:03.798904
823503,2026-08-27,Houston Astros @ New York Yankees,Gerrit Cole,3.11,Hayden Wesneski,4.23,MONEYLINE,New York Yankees,71.3%,0.0,N/A,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),LOSS,5 - 1,5 a 1 (V-L),2026-08-28T20:00:03.798908
823503,2026-08-27,Houston Astros @ New York Yankees,Gerrit Cole,3.11,Hayden Wesneski,4.23,TOTALS,UNDER,56.2%,0.0,8.0,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),WIN,5 - 1,6,2026-08-28T20:00:03.798911
823503,2026-08-27,Houston Astros @ New York Yankees,Gerrit Cole,3.11,Hayden Wesneski,4.23,TEAM_TOTAL_HOME_ALT_2.5,OVER,57.9%,0.0,2.5,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),LOSS,5 - 1,1,2026-08-28T20:00:03.798914
823503,2026-08-27,Houston Astros @ New York Yankees,Gerrit Cole,3.11,Hayden Wesneski,4.23,TEAM_TOTAL_HOME_ALT_3.5,UNDER,64.5%,0.0,3.5,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),WIN,5 - 1,1,2026-08-28T20:00:03.798917
823503,2026-08-27,Houston Astros @ New York Yankees,Gerrit Cole,3.11,Hayden Wesneski,4.23,TEAM_TOTAL_AWAY_ALT_2.5,OVER,85.5%,0.0,2.5,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),WIN,5 - 1,5,2026-08-28T20:00:03.798921
823503,2026-08-27,Houston Astros @ New York Yankees,Gerrit Cole,3.11,Hayden Wesneski,4.23,TEAM_TOTAL_AWAY_ALT_3.5,OVER,70.1%,0.0,3.5,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),WIN,5 - 1,5,2026-08-28T20:00:03.798924
822771,2026-08-27,Kansas City Royals @ Toronto Blue Jays,Spencer Arrighetti,4.73,Noah Cameron,4.02,MONEYLINE,Kansas City Royals,66.7%,81.77,N/A,FAVORABLE,⭐⭐⭐⭐ Favorable,WIN,13 - 2,13 a 2 (V-L),2026-08-28T20:00:03.798928
822771,2026-08-27,Kansas City Royals @ Toronto Blue Jays,Spencer Arrighetti,4.73,Noah Cameron,4.02,TOTALS,UNDER,50.8%,43.44,8.0,PARTIDO_CERRADO,⭐ Partido cerrado,LOSS,13 - 2,15,2026-08-28T20:00:03.798931
822771,2026-08-27,Kansas City Royals @ Toronto Blue Jays,Spencer Arrighetti,4.73,Noah Cameron,4.02,TEAM_TOTAL_HOME_ALT_2.5,OVER,79.2%,92.8,2.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,LOSS,13 - 2,2,2026-08-28T20:00:03.798934
822771,2026-08-27,Kansas City Royals @ Toronto Blue Jays,Spencer Arrighetti,4.73,Noah Cameron,4.02,TEAM_TOTAL_HOME_ALT_3.5,OVER,60.8%,81.44,3.5,FAVORABLE,⭐⭐⭐⭐ Favorable,LOSS,13 - 2,2,2026-08-28T20:00:03.798937
822771,2026-08-27,Kansas City Royals @ Toronto Blue Jays,Spencer Arrighetti,4.73,Noah Cameron,4.02,TEAM_TOTAL_AWAY_ALT_2.5,OVER,74.5%,92.4,2.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,WIN,13 - 2,13,2026-08-28T20:00:03.798939
822771,2026-08-27,Kansas City Royals @ Toronto Blue Jays,Spencer Arrighetti,4.73,Noah Cameron,4.02,TEAM_TOTAL_AWAY_ALT_3.5,OVER,54.5%,59.9,3.5,PARTIDO_CERRADO,⭐ Partido cerrado,WIN,13 - 2,13,2026-08-28T20:00:03.798942
823581,2026-08-27,Milwaukee Brewers @ New York Mets,Sean Manaea,4.31,Jacob Misiorowski,1.68,MONEYLINE,Milwaukee Brewers,61.3%,72.03,N/A,LIGERA_VENTAJA,⭐⭐⭐ Ligera ventaja,WIN,8 - 2,8 a 2 (V-L),2026-08-28T20:00:03.798945
823581,2026-08-27,Milwaukee Brewers @ New York Mets,Sean Manaea,4.31,Jacob Misiorowski,1.68,TOTALS,UNDER,67.7%,86.96,7.0,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,LOSS,8 - 2,10,2026-08-28T20:00:03.798948
